States,Regions,Dates,Usage,,,,
Andhra Pradesh,South,02-01-2019 0.00,164.6,,,,
Andhra Pradesh,South,03-01-2019 0.00,170.1,,,,
Andhra Pradesh,South,04-01-2019 0.00,165.2,,,,
Andhra Pradesh,South,05-01-2019 0.00,167.4,,,,
Andhra Pradesh,South,06-01-2019 0.00,171.2,,,,
Andhra Pradesh,South,07-01-2019 0.00,166.4,,,,
Andhra Pradesh,South,08-01-2019 0.00,160.8,,,,
Andhra Pradesh,South,09-01-2019 0.00,163,,,,
Andhra Pradesh,South,10-01-2019 0.00,168.8,,,,
Andhra Pradesh,South,11-01-2019 0.00,167.7,,,,
Andhra Pradesh,South,12-01-2019 0.00,168.1,,,,
Andhra Pradesh,South,13-01-2019 0.00,164.9,,,,
Andhra Pradesh,South,14-01-2019 0.00,163.3,,,,
Andhra Pradesh,South,15-01-2019 0.00,160.7,,,,
Andhra Pradesh,South,16-01-2019 0.00,155.2,,,,
Andhra Pradesh,South,17-01-2019 0.00,161.8,,,,
Andhra Pradesh,South,18-01-2019 0.00,169.9,,,,
Andhra Pradesh,South,19-01-2019 0.00,166,,,,
Andhra Pradesh,South,20-01-2019 0.00,153.9,,,,
Andhra Pradesh,South,21-01-2019 0.00,153.3,,,,
Andhra Pradesh,South,22-01-2019 0.00,152.6,,,,
Andhra Pradesh,South,23-01-2019 0.00,194.9,,,,
Andhra Pradesh,South,24-01-2019 0.00,193.7,,,,
Andhra Pradesh,South,25-01-2019 0.00,176.4,,,,
Andhra Pradesh,South,26-01-2019 0.00,172.4,,,,
Andhra Pradesh,South,27-01-2019 0.00,181,,,,
Andhra Pradesh,South,28-01-2019 0.00,189.4,,,,
Andhra Pradesh,South,29-01-2019 0.00,189.8,,,,
Andhra Pradesh,South,30-01-2019 0.00,160.4,,,,
Andhra Pradesh,South,31-01-2019 0.00,162.7,,,,
Andhra Pradesh,South,02-02-2019 0.00,164.2,,,,
Andhra Pradesh,South,03-02-2019 0.00,163.7,,,,
Andhra Pradesh,South,04-02-2019 0.00,165.8,,,,
Andhra Pradesh,South,05-02-2019 0.00,165.2,,,,
Andhra Pradesh,South,06-02-2019 0.00,163.2,,,,
Andhra Pradesh,South,07-02-2019 0.00,152.8,,,,
Andhra Pradesh,South,08-02-2019 0.00,156.7,,,,
Andhra Pradesh,South,09-02-2019 0.00,149.8,,,,
Andhra Pradesh,South,10-02-2019 0.00,148.7,,,,
Andhra Pradesh,South,11-02-2019 0.00,153.8,,,,
Andhra Pradesh,South,12-02-2019 0.00,155.2,,,,
Andhra Pradesh,South,13-02-2019 0.00,157.5,,,,
Andhra Pradesh,South,14-02-2019 0.00,149.2,,,,
Andhra Pradesh,South,15-02-2019 0.00,148.1,,,,
Andhra Pradesh,South,16-02-2019 0.00,151.5,,,,
Andhra Pradesh,South,17-02-2019 0.00,150.5,,,,
Andhra Pradesh,South,18-02-2019 0.00,159.5,,,,
Andhra Pradesh,South,19-02-2019 0.00,160.8,,,,
Andhra Pradesh,South,20-02-2019 0.00,159.1,,,,
Andhra Pradesh,South,21-02-2019 0.00,197,,,,
Andhra Pradesh,South,22-02-2019 0.00,201,,,,
Andhra Pradesh,South,23-02-2019 0.00,197.1,,,,
Andhra Pradesh,South,24-02-2019 0.00,183.2,,,,
Andhra Pradesh,South,25-02-2019 0.00,196.3,,,,
Andhra Pradesh,South,26-02-2019 0.00,197.3,,,,
